20 10 8.5 1.5 1.5
##########@@@@@@@@@@
#      # #@    @   @
### #### #@ @@@@   @
#      #           @
## ### # #@@@@@ @@@@
#    # # #@        @
#### #   #@ # @ @@@@
#  # ### #@   @ @  @
#        #@   @    @
##########@@@@@@@@@@
52
14.8 1.2 1
14.8 1.8 1

18.8 1.2 1
18.8 1.4 1
18.8 1.6 1
18.8 1.8 1
18.8 2.0 1
18.8 2.2 1
18.8 2.4 1
18.8 2.6 1
18.8 2.8 1
18.8 3.0 1

18.6 1.2 1
18.6 1.4 1
18.6 1.6 1
18.6 1.8 1
18.6 2.0 1
18.6 2.2 1
18.6 2.4 1
18.6 2.6 1
18.6 2.8 1
18.6 3.0 1

18.4 1.2 1
18.4 1.4 1
18.4 1.6 1
18.4 1.8 1
18.4 2.0 1
18.4 2.2 1
18.4 2.4 1
18.4 2.6 1
18.4 2.8 1
18.4 3.0 1

18.2 1.2 1
18.2 1.4 1
18.2 1.6 1
18.2 1.8 1
18.2 2.0 1
18.2 2.2 1
18.2 2.4 1
18.2 2.6 1
18.2 2.8 1
18.2 3.0 1

18.0 1.2 1
18.0 1.4 1
18.0 1.6 1
18.0 1.8 1
18.0 2.0 1
18.0 2.2 1
18.0 2.4 1
18.0 2.6 1
18.0 2.8 1
18.0 3.0 1
